Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"Microsoft","generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate","Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate",66,50
"Microsoft-Portugese","fundamentos-de-ia-generativa-para-gerentes-um-conteudo-da-microsoft-e-do-linkedin","Fundamentos de IA Generativa para Gerentes, um conteúdo da Microsoft e do LinkedIn",6,0
"Microsoft-German","kernkompetenzen-fur-ihre-karriere-in-der-systemadministration-von-microsoft-und-linkedin","Kernkompetenzen fur Ihre Karriere in der Systemadministration von Microsoft und LinkedIn",13,0
"Microsoft-Portugese","fundamentos-para-analise-de-negocios-por-microsoft-e-linkedin","Fundamentos Profissionais de Analise de Negocios por Microsoft e LinkedIn",12,0
"Wolfram","machine-learning-statistical-foundations-professional-certificate-by-wolfram-research","Machine Learning Statistical Foundations Professional Certificate by Wolfram Research",64,39
"Microsoft-Japanese","ad464fff-e701-3d53-950a-6fa68ab7df12","Microsoft Copilotで生産性を高める by Microsoft x LinkedIn",10,1
"Microsoft-Spanish","fundamentos-de-la-carrera-de-administracion-de-sistemas-de-microsoft-y-linkedin","Fundamentos de la carrera de administracion de sistemas de Microsoft y LinkedIn",96,1
"Microsoft-Japanese","f4cf5dad-0431-3da6-b1f1-cf9fb3dca254","サステナビリティ技術の基礎知識 by Microsoft x LinkedIn",1,0
"Linkedin","linkedin-learning-human-skills-for-managers-professional-certificate","LinkedIn Learning Human Skills for Managers Professional Certificate",283,1
"Cybrary","penetration-testing-professional-certificate-by-cybrary","Penetration Testing Professional Certificate by Cybrary",46,32
"Linkedin","building-ai-products-prototyping-essentials-professional-certificate-by-linkedin-learning","Building AI Products: Prototyping Essentials Professional Certificate by LinkedIn Learning",27,16
"Aha!","aha-product-management-professional-certificate","Aha! Product Management Professional Certificate",453,327
"Google","prepare-for-the-google-cloud-digital-leader-certification","Prepare for the Google Cloud Digital Leader Certification",25,8
"CSCMP","cscmp-supply-chain-foundations-procurement-professional-certificate","CSCMP Supply Chain Foundations: Procurement Professional Certificate",278,180
"Microsoft-Spanish","fundamentos-profesionales-del-desarrollo-de-software-por-microsoft-y-linkedin","Fundamentos profesionales del desarrollo de software por Microsoft y LinkedIn",74,0
"Microsoft-Spanish","desarrolla-tus-habilidades-de-productividad-con-ia-generativa-con-microsoft-y-linkedin","Desarrolla tus habilidades de productividad con IA generativa con Microsoft y LinkedIn",339,32
"Microsoft-Spanish","fundamentos-profesionales-en-tecnologia-sostenible-por-microsoft-y-linkedin","Fundamentos profesionales en tecnologia sostenible por Microsoft y LinkedIn",33,0
"DevOps Institute","devops-institute-cert-prep-devops-leader-dol","DevOps Institute Cert Prep: DevOps Leader (DOL)",14,2
"Wolfram","statistics-foundations-professional-certificate-by-wolfram-research","Statistics Foundations Professional Certificate by Wolfram Research",77,52
"Microsoft-Spanish","fundamentos-profesionales-de-gestion-de-proyectos-por-microsoft-y-linkedin","Fundamentos profesionales de la gestion de proyectos por Microsoft y LinkedIn",94,0
"Microsoft-Spanish","fundamentos-profesionales-de-ia-generativa-por-microsoft-y-linkedin","Fundamentos profesionales de IA generativa por Microsoft y LinkedIn",262,0
"Microsoft-Spanish","fundamentos-profesionales-de-asistencia-administrativa-por-microsoft-y-linkedin","Fundamentos profesionales de asistencia administrativa por Microsoft y LinkedIn",190,0
"Microsoft-French","se-preparer-au-metier-de-developpeur-developpeuse-par-microsoft-et-linkedin","Se preparer au metier de developpeur/ developpeuse par Microsoft et LinkedIn",18,0
"Microsoft-German","erhohen-sie-ihre-produktivitat-mit-generativer-ki-bereitgestellt-von-microsoft-und-linkedin","Erhöhen Sie Ihre Produktivität mit generativer KI bereitgestellt von Microsoft und LinkedIn",26,0
"Procore","procore-construction-management-professional-certificate","Procore Construction Management Professional Certificate",202,159
"Microsoft-French","se-preparer-au-metier-de-chef-cheffe-de-projet-par-microsoft-et-linkedin","Se preparer au metier de chef / cheffe de projet par Microsoft et LinkedIn",22,0
"Linkedin","succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning","Succeeding as a New Manager Professional Certificate by LinkedIn Learning",86,54
"Weaviate","vector-databases-professional-certificate-by-weaviate","Vector Databases Professional Certificate by Weaviate",27,19
"Microsoft-Spanish","fundamentos-profesionales-de-analisis-empresarial-por-microsoft-y-linkedin","Fundamentos profesionales de analisis empresarial por Microsoft y LinkedIn",47,0
"Atlassian","prepare-for-the-atlassian-managing-jira-projects-acp-620-certification","Prepare for the Atlassian Managing Jira Projects (ACP-620) Certification",42,17
"Oracle","oracle-cloud-database-service-professional-workshop","Oracle Cloud Database Service Professional Workshop",1,0
"Microsoft","career-essentials-in-cybersecurity-by-microsoft-and-linkedin","Career Essentials in Cybersecurity by Microsoft and LinkedIn",832,500
"Microsoft-Portugese","ia-para-lideres-organizacionais-um-conteudo-da-microsoft-e-do-linkedin","IA para Líderes Organizacionais, um conteúdo da Microsoft e do LinkedIn",19,1
"Hootsuite","social-media-marketing-professional-certificate-by-hootsuite","Social Media Marketing Professional Certificate by Hootsuite",193,143
"MongoDB","prepare-for-the-mongodb-python-developer-associate-certification","Prepare for the MongoDB Python Developer Associate Certification",2,0
"Hootsuite","prepare-for-the-hootsuite-platform-certification","Prepare for the Hootsuite Platform Certification",17,5
"Adobe","essential-skills-in-adobe-illustrator-2025-professional-certificate","Essential Skills in Adobe Illustrator 2025 Professional Certificate",99,63
"Microsoft-French","se-preparer-au-metier-d-assistant-assistante-administratif-par-microsoft-et-linkedin","Se preparer au metier d assistant / assistante administratif par Microsoft et LinkedIn",11,0
"Microsoft-Japanese","ea21ba1a-ae7c-317c-b595-81fc5c85237f","生成AIを活用して生産性を高める by Microsoft x LinkedIn",13,1
"Microsoft-French","ameliorez-votre-productivite-grace-a-l-ia-generative-avec-microsoft-et-linkedin","Ameliorez votre productivite grace a l IA generative avec Microsoft et LinkedIn",39,0
"Microsoft-Portugese","fundamentos-para-analise-de-dados-por-microsoft-e-linkedin","Fundamentos Profissionais de Analise de Dados por Microsoft e LinkedIn",34,0
"Atlassian","atlassian-agile-project-management-professional-certificate","Atlassian Agile Project Management Professional Certificate",954,716
"CSCMP","cscmp-supply-chain-foundations-manufacturing-and-service-operations-professional-certificate","CSCMP Supply Chain Foundations: Manufacturing and Service Operations Professional Certificate",102,70
"Linkedin","linkedin-learning-essential-business-communication-skills-professional-certificate","LinkedIn Learning Essential Business Communication Skills Professional Certificate",283,0
"Microsoft-German","grundwissen-cybersecurity-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Cybersecurity bereitgestellt von Microsoft und LinkedIn",22,0
"Microsoft-Mandarin","be18fa4d-1468-36f0-b44c-2c6a306d31c2","数据分析职业技能基础 (微软与领英联合制作)",4,2
"Microsoft","generative-ai-for-customer-service-with-microsoft-365-copilot-professional-certificate","Generative AI for Customer Service with Microsoft 365 Copilot Professional Certificate",112,73
"Oracle","oracle-cloud-infrastructure-operations-professional","Oracle Cloud Infrastructure Operations Professional",0,6
"KNIME","data-science-professional-certificate-by-knime","Data Science Professional Certificate by KNIME",53,32
"Microsoft-Portugese","fundamentos-para-uma-carreira-em-tecnologia-sustentavel-por-microsoft-e-linkedin","Fundamentos para uma Carreira em Tecnologia Sustentavel por Microsoft e LinkedIn",9,0
"JetBrains","java-foundations-professional-certificate-by-jetbrains","Java Foundations Professional Certificate by JetBrains",76,44
"MongoDB","prepare-for-the-mongodb-c-sharp-developer-associate-certification","Prepare for the MongoDB C# Developer Associate Certification",3,0
"Linkedin","succeeding-as-a-senior-manager-professional-certificate-by-linkedin-learning","Succeeding as a Senior Manager Professional Certificate by LinkedIn Learning",54,43
"Microsoft-Spanish","inteligencia-artificial-para-gerentes-por-microsoft-y-linkedin","Inteligencia artificial para gerentes por Microsoft y LinkedIn",46,3
"Adobe","essential-skills-in-adobe-premiere-pro-professional-certificate","Essential Skills in Adobe Premiere Pro Professional Certificate",39,0
"Microsoft","ai-for-organizational-leaders-by-microsoft-and-linkedin","AI for Organizational Leaders by Microsoft and LinkedIn",368,260
"ServiceNow","servicenow-it-leadership-professional-certificate","ServiceNow IT Leadership Professional Certificate",282,219
"Microsoft-German","microsoft-copilot-fur-produktivitat-bereitgestellt-von-microsoft-und-linkedin","Microsoft Copilot für Produktivität, bereitgestellt von Microsoft und LinkedIn",16,2
"Linkedin","generative-ai-for-recruiting-professional-certificate-by-linkedin-learning","Generative AI for Recruiting Professional Certificate by LinkedIn Learning",132,97
"Linkedin","change-management-professional-certificate-by-linkedin-learning","Change Management Professional Certificate by LinkedIn Learning",234,161
"Microsoft-Spanish","microsoft-copilot-para-productividad-por-microsoft-y-linkedin","Microsoft Copilot para productividad, por Microsoft y LinkedIn",76,3
"Microsoft-Portugese","explore-a-ia-generativa-para-produtividade-com-a-microsoft-e-o-linkedin","Explore a IA Generativa para Produtividade com a Microsoft e o LinkedIn",31,2
"Oracle","oracle-cloud-infrastructure-architect-professional-19683737","Oracle Cloud Infrastructure Architect Professional",0,7
"MongoDB","prepare-for-the-mongodb-node-js-developer-associate-certification","Prepare for the MongoDB Node.js Developer Associate Certification",1,0
"American-Nurses-Association","business-foundations-for-nurses-professional-certificate-by-american-nurses-association","Business Foundations for Nurses Professional Certificate by American Nurses Association",28,11
"Pager-Duty","devops-professional-certificate-by-pagerduty-and-linkedin","DevOps Professional Certificate by PagerDuty and LinkedIn",106,77
"Microsoft-Mandarin","career-essentials-in-system-administration-by-microsoft-and-linkedin-19937567","系统管理职业技能基础知识",1,0
"Microsoft-German","ki-fur-manager-innen-bereitgestellt-von-microsoft-und-linkedin","KI für Manager:innen, bereitgestellt von Microsoft und LinkedIn",18,1
